phi,thetha,r,t
-67.6897277832031,90.0845933780074,52291.0901853617,1.38000000128523
-67.6791229248047,90.0848985314369,52314.2642097855,1.50000000139698
-67.6685180664063,90.0852036550641,52337.3505782093,1.62000000150874
-67.6579055786133,90.0855087563396,52360.3492801781,1.7400000016205
-67.6473007202148,90.0858138352633,52383.2603084286,1.86000000173226
-67.6367034912109,90.0861188843846,52406.0836527327,1.98000000184402
-67.6260986328125,90.0864238962531,52428.8193031049,2.10000000195578
-67.6154937744141,90.0867288857698,52451.4672484662,2.22000000206754
-67.6048965454102,90.0870338305831,52474.0257171697,2.34000000217929
-67.5942916870117,90.0873395353556,52496.5031825216,2.46000000229105
-67.5837020874023,90.0876528322697,52518.9689092695,2.58000000240281
-67.573112487793,90.0879751890898,52541.43611081,2.70000000251457
-67.5625228881836,90.0883065238595,52563.9005012108,2.82000000262633
-67.5519485473633,90.0886453837156,52586.3610272479,2.94000000273809
-67.5413818359375,90.0889884456992,52608.8224625265,3.06000000284985
-67.5308227539063,90.0893352106214,52631.2718009303,3.18000000296161
-67.5202789306641,90.0896867737174,52653.6808938327,3.30000000307336
-67.5097503662109,90.0900440141559,52676.0132772399,3.42000000318512
-67.4992370605469,90.0904051363468,52698.2368211091,3.54000000329688
-67.4887466430664,90.0907677039504,52720.3123868933,3.66000000340864
-67.4782638549805,90.0911287665367,52742.1926252401,3.7800000035204
-67.4678039550781,90.0914857909083,52763.8088999708,3.90000000363216
-67.4573364257813,90.0918320268393,52785.1772641503,4.02000000374392
-67.4468688964844,90.0921666249633,52806.3043659264,4.14000000385568
-67.4364013671875,90.0924935042858,52827.1930343191,4.26000000396743
-67.425910949707,90.0928166210651,52847.8795594692,4.38000000407919
-67.4154052734375,90.0931318625808,52868.4772195215,4.50000000419095
-67.4048843383789,90.0934405699372,52889.0370854875,4.62000000430271
-67.3943634033203,90.093745239079,52909.5858352277,4.74000000441447
-67.3838195800781,90.0940474942327,52930.1441329863,4.86000000452623
-67.3732757568359,90.0943492799997,52950.7241071692,4.98000000463799
-67.3627243041992,90.0946512147784,52971.3359227946,5.10000000474975
-67.3521728515625,90.0949546247721,52991.9806145505,5.2200000048615
-67.3416137695313,90.095261014998,53012.5990659925,5.34000000497326
-67.3310546875,90.0955701768398,53033.1827412605,5.46000000508502
-67.3204956054688,90.0958826243877,53053.7125303689,5.58000000519678
-67.3099365234375,90.0961986333132,53074.1811345228,5.70000000530854
-67.2993698120117,90.096518240869,53094.5961140034,5.8200000054203
-67.2888107299805,90.0968412607908,53114.9491661849,5.94000000553206
-67.2782440185547,90.097168751061,53135.2255024859,6.06000000564381
-67.2676849365234,90.0974984094501,53155.4403372486,6.18000000575557
-67.2571258544922,90.0978313609958,53175.575593258,6.30000000586733
-67.2465667724609,90.0981681421399,53195.6284395313,6.42000000597909
-67.2360076904297,90.0985079780221,53215.6053727759,6.54000000609085
-67.2254486083984,90.0988501161337,53235.5171603623,6.66000000620261
-67.2148895263672,90.0991945937276,53255.3391604131,6.78000000631437
-67.2043380737305,90.0995395034552,53275.0818579,6.90000000642613
-67.1937789916992,90.0998847559094,53294.7358555867,7.02000000653788
-67.1832275390625,90.1002309843898,53314.3075776739,7.14000000664964
-67.1726684570313,90.1005781963468,53333.7969502516,7.2600000067614
-67.1621170043945,90.1009262427688,53353.2099640318,7.38000000687316
-67.1515655517578,90.1012746989727,53372.5436159682,7.50000000698492
-67.1410140991211,90.1016231253743,53391.7913294508,7.62000000709668
-67.1304626464844,90.1019715368748,53410.9512772018,7.74000000720844
-67.1199188232422,90.1023199111223,53430.0234266829,7.8600000073202
-67.1093673706055,90.1026682928205,53449.0040711459,7.98000000743195
-67.0988159179688,90.1030166149139,53467.8976264889,8.10000000754371
-67.0882720947266,90.103364855051,53486.7033232661,8.22000000765547
-67.0777282714844,90.1037124022841,53505.4203041383,8.34000000776723
-67.0671768188477,90.1040593907237,53524.0487481884,8.46000000787899
-67.0566329956055,90.104406312108,53542.5893681027,8.58000000799075
-67.0460891723633,90.1047531738877,53561.0421687902,8.70000000810251
-67.0355453491211,90.1050999686122,53579.4071552482,8.82000000821427
-67.0250015258789,90.105446703732,53597.6843322276,8.94000000832602
-67.0144653320313,90.1057933792472,53615.8737058734,9.06000000843778
-67.0039215087891,90.1061399951577,53633.9752820865,9.18000000854954
-66.9933776855469,90.1064865514636,53651.9890432322,9.3000000086613
-66.9828414916992,90.1068330556154,53669.9148648162,9.42000000877306
-66.9723052978516,90.1071795076132,53687.752740995,9.54000000888482
-66.9617614746094,90.1075259074569,53705.5027031879,9.66000000899658
-66.9512252807617,90.1078722551465,53723.1645092175,9.78000000910833
-66.9406890869141,90.1082185655832,53740.7384651259,9.90000000922009
-66.9301528930664,90.1085648313165,53758.2246753363,10.0200000093319
-66.9196166992188,90.1089110523462,53775.6231492491,10.1400000094436
-66.9090805053711,90.1092572361231,53792.9338952652,10.2600000095554
-66.898551940918,90.1096033900976,53810.1569923959,10.3800000096671
-66.8880157470703,90.1099494993687,53827.292472171,10.5000000097789
-66.8774795532227,90.1102955713868,53844.3402387142,10.6200000098906
-66.8669509887695,90.1106416285038,53861.3003258409,10.7400000100024
-66.8564224243164,90.1109876781702,53878.1727553966,10.8600000101142
-66.8458862304688,90.1113337352872,53894.9575389188,10.9800000102259
-66.8353576660156,90.1116797998548,53911.6548084678,11.1000000103377
-66.8248291015625,90.1120258867741,53928.2647956136,11.2200000104494
-66.8143005371094,90.1123720109463,53944.7871987934,11.3400000105612
-66.8037719726563,90.1127181574702,53961.2220165986,11.460000010673
-66.7932434082031,90.1130643486977,53977.5692563433,11.5800000107847
-66.78271484375,90.113410577178,53993.8289211014,11.7000000108965
-66.7721939086914,90.1137568354607,54010.0010116413,11.8200000110082
-66.7616653442383,90.1141031235456,54026.0855254105,11.94000001112
-66.7511444091797,90.114449441433,54042.0824570851,12.0600000112318
-66.7406158447266,90.1147957667708,54057.9917996533,12.1800000113435
-66.730094909668,90.1151420995593,54073.8135434212,12.3000000114553
-66.7195739746094,90.1154884323478,54089.5476787623,12.420000011567
-66.7090530395508,90.1158347427845,54105.1941943631,12.5400000116788
-66.6985321044922,90.1161810308695,54120.7530735045,12.6600000117905
-66.6880111694336,90.1165272817016,54136.2243068287,12.7800000119023
-66.677490234375,90.1168734878302,54151.6078912155,12.9000000120141
