phi,thetha,r,t
-71.9943923950195,89.9876744430512,59006.9804082698,1.3600000012666
-71.9980697631836,89.987127488479,59033.8615443679,1.48000000137836
-72.0017471313477,89.9865805972368,59060.6258472636,1.60000000149012
-72.0054244995117,89.9860337655991,59087.2733474206,1.72000000160187
-72.0091018676758,89.9854869898409,59113.8040774298,1.84000000171363
-72.0127716064453,89.9849402662367,59140.2180726244,1.96000000182539
-72.0164489746094,89.9843935901299,59166.5153723862,2.08000000193715
-72.0201263427734,89.9838469605893,59192.6960163469,2.20000000204891
-72.0238037109375,89.9833003692329,59218.7600429815,2.32000000216067
-72.0274810791016,89.982753816992,59244.7074888714,2.44000000227243
-72.0311584472656,89.9822072964162,59270.5383897226,2.56000000238419
-72.0348358154297,89.9816608075053,59296.2527777416,2.68000000249594
-72.0385055541992,89.9811143446714,59321.8506831458,2.8000000026077
-72.0421829223633,89.9805679060519,59347.3321342213,2.92000000271946
-72.0458602905273,89.9800214879215,59372.6971538558,3.04000000283122
-72.0495376586914,89.9794750902802,59397.9457566243,3.16000000294298
-72.0532073974609,89.9789285603911,59423.0790597518,3.28000000305474
-72.056884765625,89.9783819429576,59448.0967542073,3.4000000031665
-72.0605621337891,89.977835342288,59472.9980552112,3.52000000327826
-72.0642318725586,89.9772887621075,59497.7829663774,3.64000000339001
-72.0679092407227,89.9767421986908,59522.4514889538,3.76000000350177
-72.0715866088867,89.9761956576258,59547.0036229051,3.88000000361353
-72.0752563476563,89.9756491351873,59571.439366198,4.00000000372529
-72.0789337158203,89.9751026351005,59595.7587162189,4.12000000383705
-72.0826034545898,89.9745561592281,59619.9616679222,4.24000000394881
-72.0862808227539,89.9740097094327,59644.0482162043,4.36000000406057
-72.0899505615234,89.9734632857144,59668.0183554604,4.48000000417233
-72.0936279296875,89.9729168899357,59691.87207835,4.60000000428408
-72.097297668457,89.972370525822,59715.6093775758,4.72000000439584
-72.1009750366211,89.971824195236,59739.2302452001,4.8400000045076
-72.1046447753906,89.9712779000402,59762.7346733903,4.96000000461936
-72.1083221435547,89.9707316439599,59786.1226536471,5.08000000473112
-72.1119918823242,89.9701854269952,59809.3941778695,5.20000000484288
-72.1156692504883,89.9696392528713,59832.5492384991,5.32000000495464
-72.1193389892578,89.9690931234509,59855.5878282522,5.44000000506639
-72.1230087280273,89.968547038734,59878.5099420709,5.56000000517815
-72.1266860961914,89.9680010080338,59901.3155726542,5.68000000528991
-72.1303558349609,89.9674550257623,59924.0047149098,5.80000000540167
-72.1340255737305,89.9669090993702,59946.5773644561,5.92000000551343
-72.1377029418945,89.9663632251322,59969.033518481,6.04000000562519
-72.1413726806641,89.9658174104989,59991.3731753818,6.16000000573695
-72.1450424194336,89.9652716554701,60013.5963352975,6.28000000584871
-72.1481781005859,89.9648059606552,60032.4690984171,6.38240723218769
-72.1516265869141,89.9642938934267,60053.1241214569,6.4950219783932
-72.1546325683594,89.9638461731374,60071.10064898,6.59349609958008
-72.1578979492188,89.9633615873754,60090.469778918,6.70008789654821
-72.1614303588867,89.9628371112049,60111.330952968,6.81546631455421
-72.1652450561523,89.9622694589198,60133.7891481381,6.9403552301228
-72.1683197021484,89.9618132635951,60151.7472961294,7.04073303751647
-72.1715774536133,89.9613291844726,60170.7146243156,7.14725464349613
-72.1750335693359,89.9608155302703,60190.7415505499,7.26029602531344
-72.1786804199219,89.9602740332484,60211.7430220236,7.37947510229424
-72.1823501586914,89.9597288630903,60232.7730588347,7.499475102406
-72.1860198974609,89.9591837450862,60253.6867475295,7.61947510251775
-72.1896896362305,89.9586386829615,60274.4840995368,7.73947510262951
-72.193359375,89.9580936692655,60295.1651276395,7.85947510274127
-72.1970291137695,89.9575487114489,60315.7298442366,7.97947510285303
-72.2006988525391,89.9570038057864,60336.1782629375,8.09947510296479
-72.2043685913086,89.9564589485526,60356.510396895,8.21947510307655
-72.2080383300781,89.9559141471982,60376.7262601223,8.33947510318831
-72.2117080688477,89.9553693942726,60396.8258669771,8.45947510330006
-72.2153778076172,89.9548246897757,60416.8092319645,8.57947510341182
-72.2190475463867,89.9542800374329,60436.67636964,8.69947510352358
-72.2227172851563,89.9537354335189,60456.4272951249,8.81947510363534
-72.2263870239258,89.9531908780336,60476.0620239562,8.9394751037471
-72.2300567626953,89.9526463672519,60495.580571241,9.05947510385886
