phi,thetha,r,t
-67.8123374013934,90.0810443841592,652015.872024152,0.1
-67.8034870967825,90.081298880102,652036.075295925,0.2
-67.794637338451,90.0815533583934,652056.211068066,0.3
-67.7857881245159,90.0818078190817,652076.279339139,0.4
-67.7769394530948,90.0820622622155,652096.280112857,0.5
-67.7680913223058,90.0823166878431,652116.213392921,0.6
-67.7592437302676,90.0825710960129,652136.079183022,0.7
-67.7503966750998,90.0828254867732,652155.877486834,0.8
-67.7415501549222,90.0830798601724,652175.608308022,0.9
-67.7327041678555,90.0833342162588,652195.271650238,1
-67.7238587120208,90.0835885550808,652214.867517119,1.1
-67.71501378554,90.0838428766865,652234.39591229,1.2
-67.7061693865355,90.0840971811243,652253.856839366,1.3
-67.6973255131301,90.0843514684425,652273.250301947,1.4
-67.6884821634476,90.0846057386893,652292.57630362,1.5
-67.6796393356121,90.0848599919129,652311.834847961,1.6
-67.6707970277483,90.0851142281614,652331.025938532,1.7
-67.6619552379816,90.0853684474832,652350.149578884,1.8
-67.6531139644379,90.0856226499264,652369.205772553,1.9
-67.6442732052437,90.0858768355392,652388.194523064,2
-67.6354329585262,90.0861310043696,652407.11583393,2.1
-67.6265932224129,90.0863851564659,652425.96970865,2.2
-67.6177539950321,90.086639291876,652444.756150711,2.3
-67.6089152745127,90.0868934106482,652463.475163587,2.4
-67.600077058984,90.0871475128306,652482.12675074,2.5
-67.591239346576,90.087401598471,652500.710915618,2.6
-67.5824021354191,90.0876556676177,652519.227661659,2.7
-67.5735654236445,90.0879097203187,652537.676992287,2.8
-67.5647292093838,90.0881637566219,652556.058910912,2.9
-67.5558934907692,90.0884177765754,652574.373420934,3
-67.5470582659335,90.0886717802271,652592.620525739,3.1
-67.5382235330099,90.088925767625,652610.8002287,3.2
-67.5293892901324,90.0891797388171,652628.912533178,3.3
-67.5205555354354,90.0894336938513,652646.957442522,3.4
-67.5117222670539,90.0896876327755,652664.934960068,3.5
-67.5028894831233,90.0899415556377,652682.845089139,3.6
-67.4940571817798,90.0901954624857,652700.687833045,3.7
-67.4852253611598,90.0904493533674,652718.463195086,3.8
-67.4763940194007,90.0907032283306,652736.171178547,3.9
-67.46756315464,90.0909570874233,652753.8117867,4
-67.4587327650159,90.0912109306931,652771.385022807,4.1
-67.4499028486673,90.0914647581881,652788.890890115,4.2
-67.4410734037334,90.0917185699558,652806.329391861,4.3
-67.432244428354,90.0919723660442,652823.700531266,4.4
-67.4234159206694,90.092226146501,652841.004311542,4.5
-67.4145878788205,90.092479911374,652858.240735887,4.6
-67.4057603009488,90.0927336607109,652875.409807485,4.7
-67.396933185196,90.0929873945593,652892.51152951,4.8
-67.3881065297047,90.0932411129671,652909.545905122,4.9
-67.3792803326177,90.0934948159819,652926.512937468,5
-67.3704545920786,90.0937485036515,652943.412629685,5.1
-67.3616293062313,90.0940021760233,652960.244984895,5.2
-67.3528044732202,90.0942558331452,652977.010006208,5.3
-67.3439800911904,90.0945094750648,652993.707696723,5.4
-67.3351561582873,90.0947631018296,653010.338059523,5.5
