phi,thetha,r,t
-71.9532761727326,89.9939007369572,658693.700425215,0.1
-71.9563420445844,89.9934441351405,658717.265316561,0.2
-71.9594076978419,89.9929875658988,658740.75074235,0.3
-71.9624731332683,89.9925310291197,658764.156702378,0.4
-71.9655383516268,89.992074524691,658787.483202262,0.5
-71.96860335368,89.9916180525004,658810.730247601,0.6
-71.9716681401906,89.9911616124358,658833.897843974,0.7
-71.9747327119206,89.9907052043849,658856.985996942,0.8
-71.977797069632,89.9902488282356,658879.994712045,0.9
-71.9808612140864,89.989792483876,658902.923994804,1
-71.9839251460451,89.9893361711939,658925.773850719,1.1
-71.9869888662691,89.9888798900774,658948.544285273,1.2
-71.9900523755192,89.9884236404145,658971.235303929,1.3
-71.993115674556,89.9879674220933,658993.846912129,1.4
-71.9961787641395,89.987511235002,659016.379115296,1.5
-71.9992416450297,89.9870550790288,659038.831918834,1.6
-72.0023043179862,89.9865989540618,659061.205328129,1.7
-72.0053667837684,89.9861428599894,659083.499348545,1.8
-72.0084290431354,89.9856867966998,659105.713985427,1.9
-72.0114910968459,89.9852307640813,659127.849244102,2
-72.0145529456585,89.9847747620224,659149.905129876,2.1
-72.0176145903315,89.9843187904116,659171.881648038,2.2
-72.0206760316227,89.9838628491371,659193.778803855,2.3
-72.02373727029,89.9834069380876,659215.596602574,2.4
-72.0267983070908,89.9829510571516,659237.335049427,2.5
-72.0298591427821,89.9824952062177,659258.994149621,2.6
-72.032919778121,89.9820393851745,659280.573908349,2.7
-72.0359802138641,89.9815835939107,659302.074330779,2.8
-72.0390404507677,89.9811278323149,659323.495422065,2.9
-72.0421004895878,89.980672100276,659344.837187339,3
-72.0451603310804,89.9802163976826,659366.099631712,3.1
-72.0482199760011,89.9797607244237,659387.28276028,3.2
-72.051279425105,89.979305080388,659408.386578115,3.3
-72.0543386791473,89.9788494654645,659429.411090274,3.4
-72.0573977388828,89.9783938795421,659450.35630179,3.5
-72.0604566050659,89.9779383225098,659471.222217682,3.6
-72.0635152784509,89.9774827942565,659492.008842945,3.7
-72.0665737597919,89.9770272946714,659512.716182556,3.8
-72.0696320498426,89.9765718236436,659533.344241475,3.9
-72.0726901493565,89.976116381062,659553.893024641,4
-72.0757480590868,89.975660966816,659574.362536972,4.1
-72.0788057797866,89.9752055807946,659594.75278337,4.2
-72.0818633122085,89.9747502228872,659615.063768715,4.3
-72.0849206571051,89.974294892983,659635.29549787,4.4
-72.0879778152285,89.9738395909714,659655.447975676,4.5
-72.0910347873309,89.9733843167416,659675.521206958,4.6
-72.0940915741638,89.9729290701831,659695.515196519,4.7
-72.0971481764789,89.9724738511852,659715.429949144,4.8
-72.1002045950273,89.9720186596374,659735.265469598,4.9
-72.1032608305601,89.9715634954293,659755.021762629,5
-72.1063168838279,89.9711083584503,659774.698832963,5.1
-72.1093727555814,89.9706532485901,659794.296685309,5.2
-72.1124284465708,89.9701981657381,659813.815324354,5.3
-72.1154839575462,89.9697431097841,659833.254754768,5.4
-72.1185392892573,89.9692880806176,659852.614981202,5.5
-72.1215944424536,89.9688330781285,659871.896008286,5.6
-72.1246494178846,89.9683781022065,659891.097840633,5.7
-72.1277042162992,89.9679231527413,659910.220482836,5.8
-72.1307588384464,89.9674682296227,659929.263939467,5.9
-72.1338132850747,89.9670133327406,659948.228215081,5.99999999999999
-72.1368675569326,89.9665584619849,659967.113314214,6.09999999999999
-72.139921654768,89.9661036172454,659985.919241381,6.19999999999999
-72.1429755793291,89.9656487984121,660004.64600108,6.29999999999999
-72.1460293313634,89.9651940053751,660023.293597787,6.39999999999999
-72.1490829116185,89.9647392380243,660041.862035963,6.49999999999999
-72.1521363208414,89.9642844962497,660060.351320045,6.59999999999999
-72.1558000358505,89.963738864772,660078.761454455,6.69999999999999
-72.1582426291789,89.9633750889897,660097.092443593,6.79999999999999
-72.1612955297867,89.9629204232845,660115.344291842,6.89999999999999
-72.1643482623492,89.9624657827161,660133.517003565,6.99999999999999
-72.1674008276122,89.9620111671747,660151.610583105,7.09999999999999
-72.1704532263219,89.9615565765506,660169.625034788,7.19999999999999
-72.1735054592237,89.961102010734,660187.560362918,7.29999999999999
-72.1765575270632,89.9606474696152,660205.416571783,7.39999999999999
-72.1796094305855,89.9601929530846,660223.193665651,7.49999999999999
-72.1826611705357,89.9597384610325,660240.891648769,7.59999999999999
-72.1857127476585,89.9592839933495,660258.510525366,7.69999999999999
-72.1887641626985,89.9588295499258,660276.050299654,7.79999999999999
-72.1918154164,89.958375130652,660293.510975823,7.89999999999999
-72.1948665095073,89.9579207354186,660310.892558046,7.99999999999999
-72.1979174427641,89.9574663641161,660328.195050475,8.09999999999999
-72.2009682169142,89.9570120166351,660345.418457245,8.19999999999999
-72.2040188327012,89.9565576928662,660362.56278247,8.29999999999999
-72.2070692908683,89.9561033926999,660379.628030248,8.39999999999999
-72.2101195921585,89.9556491160271,660396.614204654,8.49999999999999
-72.2131697373148,89.9551948627383,660413.521309746,8.59999999999999
-72.2162197270798,89.9547406327242,660430.349349564,8.69999999999999
-72.219269562196,89.9542864258757,660447.098328127,8.79999999999998
-72.2223192434057,89.9538322420835,660463.768249436,8.89999999999998
-72.2253687714508,89.9533780812385,660480.359117474,8.99999999999998
-72.2284181470732,89.9529239432313,660496.870936203,9.09999999999998
-72.2314673710146,89.9524698279531,660513.303709566,9.19999999999998
-72.2345164440165,89.9520157352945,660529.65744149,9.29999999999998
-72.23756536682,89.9515616651466,660545.932135879,9.39999999999998
-72.2406141401662,89.9511076174003,660562.12779662,9.49999999999998
-72.243662764796,89.9506535919467,660578.244427583,9.59999999999998
-72.24671124145,89.9501995886766,660594.282032615,9.69999999999998
-72.2497595708686,89.9497456074813,660610.240615547,9.79999999999998
-72.2528077537922,89.9492916482517,660626.12018019,9.89999999999998
-72.2558557909608,89.9488377108789,660641.920730336,9.99999999999998
-72.2589036831142,89.9483837952541,660657.642269758,10.1
-72.2619514309922,89.9479299012685,660673.28480221,10.2
-72.2649990353342,89.9474760288132,660688.848331429,10.3
-72.2680464968796,89.9470221777794,660704.332861129,10.4
-72.2710938163674,89.9465683480585,660719.738395009,10.5
-72.2741409945366,89.9461145395416,660735.064936747,10.6
-72.2771880321258,89.9456607521201,660750.312490002,10.7
-72.2802349298738,89.9452069856853,660765.481058417,10.8
-72.2832816885187,89.9447532401285,660780.570645611,10.9
-72.2863283087989,89.9442995153412,660795.581255188,11
-72.2893747914523,89.9438458112147,660810.512890733,11.1
-72.2924211372167,89.9433921276405,660825.36555581,11.2
-72.2954673468297,89.9429384645101,660840.139253965,11.3
-72.2985134210289,89.9424848217148,660854.833988726,11.4
-72.3015593605514,89.9420311991464,660869.449763601,11.5
-72.3046051661344,89.9415775966962,660883.986582079,11.6
-72.3076508385149,89.9411240142558,660898.444447633,11.7
-72.3106963784295,89.940670451717,660912.823363712,11.8
-72.3137417866148,89.9402169089712,660927.123333751,11.9
-72.3167870638073,89.9397633859101,660941.344361163,12
-72.3198322107431,89.9393098824254,660955.486449343,12.1
-72.3228772281583,89.9388563984088,660969.549601668,12.2
-72.3259221167888,89.9384029337521,660983.533821497,12.3
-72.3289668773703,89.9379494883469,660997.439112166,12.4
-72.3320115106383,89.937496062085,661011.265476996,12.5
-72.3350560173282,89.9370426548582,661025.012919289,12.6
-72.3381003981753,89.9365892665584,661038.681442326,12.7
-72.3411446539145,89.9361358970774,661052.271049371,12.8
-72.3441887852807,89.9356825463071,661065.781743669,12.9
-72.3472327930087,89.9352292141394,661079.213528445,13
-72.350276677833,89.9347759004661,661092.566406906,13.1
-72.3533204404879,89.9343226051792,661105.84038224,13.2
-72.3563640817078,89.9338693281708,661119.035457617,13.3
-72.3594076022266,89.9334160693328,661132.151636187,13.4
-72.3624510027783,89.9329628285571,661145.188921082,13.5
-72.3654942840966,89.9325096057359,661158.147315416,13.6
-72.3685374469151,89.9320564007612,661171.026822281,13.7
-72.3715804919673,89.9316032135251,661183.827444754,13.8
-72.3746234199863,89.9311500439197,661196.549185892,13.9
-72.3776662317055,89.9306968918371,661209.192048731,14
-72.3807089278576,89.9302437571695,661221.756036292,14.1
-72.3837515091756,89.9297906398091,661234.241151574,14.2
-72.3867939763921,89.929337539648,661246.64739756,14.3
-72.3898363302395,89.9288844565785,661258.974777211,14.4
-72.3928785714504,89.9284313904928,661271.223293472,14.5
-72.3959207007569,89.9279783412833,661283.392949269,14.6
-72.3989627188911,89.927525308842,661295.483747507,14.7
-72.4020046265848,89.9270722930615,661307.495691075,14.8
-72.4050464245699,89.926619293834,661319.428782842,14.9
-72.4080881135781,89.9261663110518,661331.283025658,15
-72.4111296943407,89.9257133446074,661343.058422355,15.1
-72.4141711675892,89.9252603943931,661354.754975745,15.2
-72.4172125340548,89.9248074603013,661366.372688623,15.3
-72.4202537944684,89.9243545422246,661377.911563764,15.4
-72.4232949495611,89.9239016400552,661389.371603925,15.5
-72.4263360000637,89.9234487536858,661400.752811844,15.6
-72.4293769467067,89.9229958830088,661412.05519024,15.7
-72.4324177902208,89.9225430279167,661423.278741814,15.8
-72.4354585313362,89.9220901883021,661434.423469248,15.9
-72.4384991707832,89.9216373640575,661445.489375205,16
-72.441539709292,89.9211845550756,661456.476462329,16.1
-72.4445801475925,89.9207317612488,661467.384733246,16.2
-72.4476204864145,89.9202789824699,661478.214190564,16.3
-72.4506607264878,89.9198262186314,661488.964836871,16.4
-72.4537008685419,89.919373469626,661499.636674737,16.5
-72.4567409133064,89.9189207353464,661510.229706712,16.6
-72.4597808615104,89.9184680156853,661520.743935329,16.7
-72.4628207138833,89.9180153105355,661531.179363102,16.8
-72.465860471154,89.9175626197895,661541.535992526,16.9
-72.4689001340517,89.9171099433402,661551.813826077,17
-72.4719397033049,89.9166572810804,661562.012866213,17.1
-72.4749791796425,89.9162046329028,661572.133115373,17.2
-72.4780185637931,89.9157519987002,661582.174575978,17.3
-72.4810578564851,89.9152993783655,661592.137250429,17.4
-72.4840970584468,89.9148467717916,661602.02114111,17.5
-72.4871361704064,89.9143941788712,661611.826250384,17.6
-72.4901751930922,89.9139415994972,661621.552580599,17.7
-72.4932141272319,89.9134890335626,661631.20013408,17.8
-72.4962529735535,89.9130364809602,661640.768913137,17.9
-72.4992917327848,89.9125839415831,661650.258920059,18
-72.5023304056533,89.912131415324,661659.670157118,18.1
-72.5053689928867,89.9116789020761,661669.002626566,18.2
-72.5084074952122,89.9112264017322,661678.256330638,18.3
-72.5114459133573,89.9107739141854,661687.431271549,18.4
-72.514484248049,89.9103214393287,661696.527451495,18.5
-72.5175225000146,89.909868977055,661705.544872656,18.6
-72.5205606699808,89.9094165272576,661714.483537189,18.7
