phi,thetha,r,t
-72.5742567667559,90.1425344276575,632127.347744981,0.1
-72.5758351041738,90.1426174925642,632156.604471405,0.2
-72.5774132959565,90.1427005496976,632185.7733003,0.3
-72.5789913425628,90.1427835990818,632214.854231599,0.4
-72.5805692444516,90.1428666407408,632243.847273416,0.5
-72.5821470020814,90.142949674699,632272.752433839,0.6
-72.5837246159105,90.1430327009801,632301.569720932,0.7
-72.585302086397,90.1431157196085,632330.299142732,0.8
-72.5868794139986,90.1431987306081,632358.940707251,0.9
-72.5884565991731,90.143281734003,632387.494422476,1
-72.5900336423779,90.1433647298172,632415.960296368,1.1
-72.5916105440702,90.1434477180748,632444.338336863,1.2
-72.5931873047068,90.1435306987997,632472.628551872,1.3
-72.5947639247447,90.143613672016,632500.830949279,1.4
-72.5963404046403,90.1436966377477,632528.945536944,1.5
-72.5979167448499,90.1437795960187,632556.972322701,1.6
-72.5994929458296,90.143862546853,632584.91131436,1.7
-72.6010690080354,90.1439454902746,632612.762519703,1.8
-72.6026449319229,90.1440284263074,632640.52594649,1.9
-72.6042207179475,90.1441113549754,632668.201602452,2
-72.6057963665645,90.1441942763024,632695.789495299,2.1
-72.6073718782289,90.1442771903124,632723.28963271,2.2
-72.6089472533956,90.1443600970293,632750.702022345,2.3
-72.6105224925191,90.144442996477,632778.026671834,2.4
-72.6120975960538,90.1445258886794,632805.263588784,2.5
-72.6136725644539,90.1446087736602,632832.412780776,2.6
-72.6152473981734,90.1446916514435,632859.474255366,2.7
-72.6168220976661,90.1447745220529,632886.448020086,2.8
-72.6183966633855,90.1448573855125,632913.334082439,2.9
-72.6199710957849,90.1449402418459,632940.132449907,3
-72.6215453953176,90.145023091077,632966.843129945,3.1
-72.6231195624363,90.1451059332296,632993.466129983,3.2
-72.624693597594,90.1451887683275,633020.001457425,3.3
-72.6262675012431,90.1452715963944,633046.449119651,3.4
-72.6278412738359,90.1453544174542,633072.809124015,3.5
-72.6294149158246,90.1454372315306,633099.081477847,3.6
-72.630988427661,90.1455200386473,633125.266188452,3.7
-72.632561809797,90.1456028388282,633151.363263107,3.8
-72.634135062684,90.1456856320968,633177.372709067,3.9
-72.6357081867733,90.1457684184769,633203.294533561,4
-72.6372811825161,90.1458511979922,633229.128743792,4.1
-72.6388540503633,90.1459339706665,633254.87534694,4.2
-72.6404267907656,90.1460167365234,633280.534350157,4.3
-72.6419994041736,90.1460994955865,633306.105760573,4.4
-72.6435718910376,90.1461822478796,633331.589585292,4.5
-72.6451442518077,90.1462649934263,633356.98583139,4.6
-72.6467164869338,90.1463477322502,633382.294505923,4.7
-72.6482885968658,90.1464304643749,633407.515615919,4.8
-72.6498605820532,90.1465131898242,633432.649168381,4.9
-72.6514324429453,90.1465959086216,633457.695170287,5
-72.6530041799913,90.1466786207906,633482.653628592,5.1
-72.6545757936403,90.146761326355,633507.524550223,5.2
-72.6561472843409,90.1468440253382,633532.307942085,5.3
-72.6577186525419,90.1469267177638,633557.003811056,5.4
-72.6592898986915,90.1470094036555,633581.612163991,5.5
-72.6608610232381,90.1470920830367,633606.133007717,5.6
-72.6624320266297,90.1471747559311,633630.566349038,5.7
-72.6640029093142,90.147257422362,633654.912194735,5.8
-72.6655736717391,90.1473400823531,633679.170551561,5.9
-72.6671443143521,90.1474227359279,633703.341426244,5.99999999999999
-72.6687148376003,90.1475053831098,633727.424825491,6.09999999999999
-72.670285241931,90.1475880239224,633751.42075598,6.19999999999999
-72.671855527791,90.1476706583891,633775.329224366,6.29999999999999
-72.673425695627,90.1477532865334,633799.150237278,6.39999999999999
-72.6749957458858,90.1478359083788,633822.883801322,6.49999999999999
-72.6765656790136,90.1479185239487,633846.529923079,6.59999999999999
-72.6787825007588,90.1480176355515,633870.088609103,6.69999999999999
-72.679705195661,90.1480837363559,633893.559865925,6.79999999999999
-72.6812747800725,90.14816633324,633916.943700051,6.89999999999999
-72.6828442491368,90.1482489239423,633940.240117962,6.99999999999999
-72.6844136032994,90.1483315084863,633963.449126114,7.09999999999999
-72.6859828430056,90.1484140868954,633986.570730939,7.19999999999999
-72.6875519687007,90.1484966591929,634009.604938844,7.29999999999999
-72.6891209808294,90.1485792254022,634032.551756211,7.39999999999999
-72.6906898798367,90.1486617855466,634055.411189396,7.49999999999999
-72.6922586661672,90.1487443396496,634078.183244733,7.59999999999999
-72.6938273402653,90.1488268877345,634100.86792853,7.69999999999999
-72.6953959025753,90.1489094298247,634123.465247069,7.79999999999999
-72.6969643535412,90.1489919659433,634145.97520661,7.89999999999999
-72.6985326936071,90.1490744961139,634168.397813385,7.99999999999999
-72.7001009232167,90.1491570203597,634190.733073605,8.09999999999999
-72.7016690428136,90.1492395387039,634212.980993453,8.19999999999999
-72.7032370528412,90.14932205117,634235.14157909,8.29999999999999
-72.7048049537428,90.1494045577812,634257.214836651,8.39999999999999
-72.7063727459614,90.1494870585607,634279.200772246,8.49999999999999
-72.7079404299401,90.1495695535318,634301.099391962,8.59999999999999
-72.7095080061215,90.1496520427178,634322.910701859,8.69999999999999
-72.7110754749482,90.149734526142,634344.634707975,8.79999999999998
-72.7126428368628,90.1498170038276,634366.271416321,8.89999999999998
-72.7142100923074,90.1498994757978,634387.820832885,8.99999999999998
-72.7157772417241,90.1499819420758,634409.28296363,9.09999999999998
-72.717344285555,90.1500644026848,634430.657814495,9.19999999999998
-72.7189112242417,90.1501468576482,634451.945391393,9.29999999999998
-72.7204780582259,90.150229306989,634473.145700213,9.39999999999998
-72.722044787949,90.1503117507305,634494.258746821,9.49999999999998
-72.7236114138525,90.1503941888958,634515.284537057,9.59999999999998
-72.7251779363773,90.1504766215082,634536.223076736,9.69999999999998
-72.7267443559646,90.1505590485907,634557.07437165,9.79999999999998
-72.728310673055,90.1506414701665,634577.838427564,9.89999999999998
-72.7298768880894,90.1507238862589,634598.515250223,9.99999999999998
-72.7314430015081,90.1508062968909,634619.104845342,10.1
-72.7330090137516,90.1508887020856,634639.607218616,10.2
-72.73457492526,90.1509711018662,634660.022375713,10.3
-72.7361407364735,90.1510534962558,634680.350322277,10.4
-72.7377064478319,90.1511358852776,634700.591063929,10.5
-72.739272059775,90.1512182689545,634720.744606263,10.6
-72.7408375727423,90.1513006473098,634740.810954851,10.7
-72.7424029871733,90.1513830203664,634760.790115239,10.8
-72.7439683035073,90.1514653881474,634780.68209295,10.9
-72.7455335221834,90.151547750676,634800.48689348,11
-72.7470986436407,90.1516301079752,634820.204522304,11.1
-72.7486636683179,90.1517124600681,634839.83498487,11.2
-72.7502285966538,90.1517948069776,634859.378286603,11.3
-72.751793429087,90.1518771487268,634878.834432902,11.4
-72.7533581660557,90.1519594853388,634898.203429145,11.5
-72.7549228079984,90.1520418168365,634917.485280681,11.6
-72.7564873553531,90.152124143243,634936.679992839,11.7
-72.7580518085577,90.1522064645813,634955.787570921,11.8
-72.7596161680502,90.1522887808744,634974.808020205,11.9
-72.7611804342682,90.1523710921452,634993.741345945,12
-72.7627446076492,90.1524533984168,635012.587553371,12.1
-72.7643086886306,90.1525356997121,635031.346647689,12.2
-72.7658726776498,90.1526179960541,635050.01863408,12.3
-72.7674365751437,90.1527002874658,635068.6035177,12.4
-72.7690003815495,90.1527825739701,635087.101303683,12.5
-72.7705640973039,90.1528648555899,635105.511997135,12.6
-72.7721277228437,90.1529471323482,635123.835603142,12.7
-72.7736912586054,90.1530294042679,635142.072126763,12.8
-72.7752547050254,90.153111671372,635160.221573033,12.9
-72.7768180625401,90.1531939336833,635178.283946964,13
-72.7783813315857,90.1532761912248,635196.259253542,13.1
