phi,thetha,r,t
-74.7024459838867,92.5872452259064,31782.6300047081,1.40000000130385
-74.7085113525391,92.594007730484,31831.688068094,1.52000000141561
-74.7145843505859,92.6007668972015,31880.5671319626,1.64000000152737
-74.7206497192383,92.6075229644775,31929.2656608241,1.76000000163913
-74.7267227172852,92.6142752170563,31977.7818788111,1.88000000175089
-74.732795715332,92.6210234165192,32026.1138136605,2.00000000186265
-74.7388687133789,92.6277673244476,32074.2593479423,2.1200000019744
-74.7449417114258,92.6345064640045,32122.2162919292,2.24000000208616
-74.7510147094727,92.6412403583527,32169.982473721,2.36000000219792
-74.7570877075195,92.6479687690735,32217.5558487532,2.48000000230968
-74.7631530761719,92.6546907424927,32264.9513221306,2.60000000242144
-74.7692184448242,92.6614077091217,32312.2025102896,2.7200000025332
-74.7752838134766,92.6681201457977,32359.3171934949,2.84000000264496
-74.7813415527344,92.6748280525208,32406.2944556401,2.96000000275671
-74.7873916625977,92.6815311908722,32453.1337605966,3.08000000286847
-74.7934417724609,92.6882295608521,32499.8350469677,3.20000000298023
-74.7994918823242,92.6949229240417,32546.3982671795,3.32000000309199
-74.805534362793,92.7016117572784,32592.8236268271,3.44000000320375
-74.8115768432617,92.7082958221436,32639.1115888465,3.56000000331551
-74.8176116943359,92.7149751186371,32685.2628980898,3.68000000342727
-74.8236389160156,92.7216513156891,32731.28313436,3.80000000353903
-74.8296661376953,92.7283248901367,32777.1749137293,3.92000000365078
-74.8356857299805,92.7349960803986,32822.9387647382,4.04000000376254
-74.8417053222656,92.7416648864746,32868.5831683935,4.1600000038743
-74.8477249145508,92.7483313083649,32914.1153099913,4.28000000398606
-74.8537368774414,92.7549967765808,32959.521215315,4.40000000409782
-74.8597412109375,92.7616627216339,33004.7982892318,4.52000000420958
-74.8657455444336,92.7683293819427,33049.9151139441,4.64000000432134
-74.8717422485352,92.7749972343445,33094.8773338912,4.7600000044331
-74.8777313232422,92.7816660404205,33139.687273531,4.88000000454485
-74.8837127685547,92.7883360385895,33184.3496483335,5.00000000465661
-74.8896865844727,92.7950067520142,33228.8919038769,5.12000000476837
-74.8956680297852,92.8016786575317,33273.3264235189,5.24000000488013
-74.9016342163086,92.8083508014679,33317.6531236325,5.36000000499189
-74.907600402832,92.8150193691254,33361.8713271755,5.48000000510365
-74.9135665893555,92.8216850757599,33405.9843720914,5.60000000521541
-74.9195251464844,92.8283479213715,33449.9949942405,5.72000000532717
-74.9254837036133,92.8350074291229,33493.9057879703,5.84000000543892
-74.9314346313477,92.8416635990143,33537.7190697739,5.96000000555068
-74.937385559082,92.8483140468597,33581.4371837772,6.08000000566244
-74.9433288574219,92.8549604415894,33625.0652494458,6.2000000057742
-74.9492721557617,92.8616011142731,33668.6124376314,6.32000000588596
-74.9552154541016,92.8682363033295,33712.0771685889,6.44000000599772
-74.9611511230469,92.8748662471771,33755.4607728735,6.56000000610948
-74.9670944213867,92.8814907073975,33798.7639569546,6.68000000622123
-74.973030090332,92.8881103992462,33841.9874376492,6.80000000633299
-74.9789733886719,92.8947269916534,33885.1294520482,6.92000000644475
-74.9849090576172,92.9013397693634,33928.1870375274,7.04000000655651
-74.990852355957,92.9079494476318,33971.1573322011,7.16000000666827
-74.9967956542969,92.9145555496216,34014.0381598949,7.28000000678003
-75.0027389526367,92.9211583137512,34056.8267700912,7.40000000689179
-75.0086822509766,92.9277575016022,34099.5204654889,7.52000000700355
-75.0146331787109,92.934353351593,34142.1167242441,7.6400000071153
-75.0205841064453,92.9409456253052,34184.6134862553,7.76000000722706
-75.0265274047852,92.9475367069244,34227.006687856,7.88000000733882
-75.0324783325195,92.9541254043579,34269.2983597596,8.00000000745058
-75.0384216308594,92.9607133865356,34311.4814959683,8.12000000756234
-75.0443725585938,92.9672994613647,34353.5597826496,8.2400000076741
-75.0503158569336,92.9738838672638,34395.5289233464,8.36000000778586
-75.0562591552734,92.9804680347443,34437.3855226401,8.48000000789762
-75.0622024536133,92.9870498180389,34479.1322669187,8.60000000800937
-75.0681457519531,92.993631362915,34520.7627904579,8.72000000812113
-75.074089050293,93.0002107620239,34562.2799723602,8.84000000823289
-75.0800247192383,93.0067894458771,34603.6807092668,8.96000000834465
-75.0859680175781,93.0133671760559,34644.9642934542,9.08000000845641
-75.091911315918,93.0199432373047,34686.1296290145,9.20000000856817
-75.0978469848633,93.026519536972,34727.1683804882,9.32000000867993
-75.1037902832031,93.0330936908722,34768.0873731201,9.44000000879169
-75.1097259521484,93.0396678447723,34808.8832595994,9.56000000890344
-75.1156616210938,93.0462403297424,34849.5584120436,9.6800000090152
-75.1216049194336,93.0528120994568,34890.1067623808,9.80000000912696
-75.1275405883789,93.0593829154968,34930.5275171224,9.92000000923872
-75.1334762573242,93.065952539444,34970.8302044525,10.0400000093505
-75.1394119262695,93.0725219249725,35010.998942957,10.1600000094622
-75.1453475952148,93.0790894031525,35051.0475071103,10.280000009574
-75.1512832641602,93.0856573581696,35090.9584743558,10.4000000096858
-75.1572189331055,93.092223405838,35130.7410981781,10.5200000097975
-75.1631469726563,93.0987894535065,35170.3941432557,10.6400000099093
-75.1690826416016,93.1053538322449,35209.9246642544,10.760000010021
-75.1750183105469,93.111917257309,35249.3271853263,10.8800000101328
-75.1809463500977,93.1184799671173,35288.594668192,11.0000000102445
-75.186882019043,93.1250422000885,35327.7283178681,11.1200000103563
-75.1928100585938,93.1316025257111,35366.7346336331,11.2400000104681
-75.1987380981445,93.1381630897522,35405.6060255158,11.3600000105798
-75.2036972045898,93.1436426639557,35437.9852337326,11.4602569686249
-75.2090072631836,93.1495192050934,35472.6016982518,11.5677826032043
-75.2148742675781,93.1560065746307,35510.681123776,11.6864996445365
-75.2206726074219,93.1624131202698,35548.1468582399,11.8037500111386
-75.2268676757813,93.1692633628845,35588.0996321128,11.9291418571956
-75.2334365844727,93.1765308380127,35630.3660054795,12.0622088736854
-75.2404098510742,93.1842401027679,35675.0313308373,12.2034198110923
-75.2453002929688,93.1896398067474,35706.2228236852,12.3023303337395
-75.250373840332,93.1952571868896,35738.5923181612,12.4052374381572
-75.2556610107422,93.2011005878448,35772.1643204791,12.5123016471043
-75.2611618041992,93.2071778774261,35806.9714170792,12.6236914177425
-75.2668838500977,93.2134990692139,35843.0665348734,12.7395813101903
-75.2727966308594,93.2200269699097,35880.238885721,12.8592700310983
-75.2787170410156,93.2265706062317,35917.3965432561,12.97927003121
-75.2846374511719,93.2331125736237,35954.429956864,13.0992700313218
-75.290657043457,93.2397582530975,35991.9301561158,13.2212024047039
-75.2969131469727,93.2466707229614,36030.8099778133,13.3480603150092
-75.3034286499023,93.2538595199585,36071.1120801705,13.4800433474593
-75.3102111816406,93.2613346576691,36112.8692198733,13.617358410731
-75.317268371582,93.2691068649292,36156.1153329022,13.7602209593169
-75.3246154785156,93.2771887779236,36200.8925977917,13.9088556026109
-75.3322601318359,93.2855927944183,36247.2514366301,14.0634948848747
-75.3401565551758,93.2942667007446,36294.9005524773,14.2231414914131
-75.3480606079102,93.3029587268829,36342.4528261314,14.3831414915621
-75.3559722900391,93.3116490840912,36389.7987390049,14.5431414917111
-75.3638687133789,93.3203384876251,36436.9560068292,14.7031414918602
-75.3717651367188,93.3290271759033,36483.9333883435,14.8631414920092
-75.3796615600586,93.3377139568329,36530.7043627296,15.0231414921582
-75.3875579833984,93.3463983535767,36577.2570032763,15.1831414923072
-75.3954467773438,93.3550808429718,36623.5948599749,15.3431414924562
-75.4033355712891,93.3637616634369,36669.7212948741,15.5031414926052
-75.4112243652344,93.3724410533905,36715.6359003589,15.6631414927542
-75.4191055297852,93.3811190128326,36761.3420176263,15.8231414929032
-75.4269866943359,93.3897955417633,36806.8393038992,15.9831414930522
-75.4348678588867,93.3984706401825,36852.1229151071,16.1431414932013
-75.442741394043,93.4071438312531,36897.1896510866,16.3031414933503
-75.4506225585938,93.4158155918121,36942.0404161167,16.4631414934993
-75.4584884643555,93.4244859218597,36986.6781431948,16.6231414936483
-75.4663619995117,93.4331548213959,37031.104367798,16.7831414937973
-75.4742279052734,93.4418225288391,37075.3194817769,16.9431414939463
-75.4820861816406,93.4504885673523,37119.3241799832,17.1031414940953
-75.4899520874023,93.459153175354,37163.1196197958,17.2631414942443
-75.4978103637695,93.4678165912628,37206.7069590942,17.4231414943933
-75.5056610107422,93.4764785766602,37250.0872279534,17.5831414945424
-75.5135116577148,93.485139131546,37293.2614483231,17.7431414946914
-75.5213623046875,93.4937982559204,37336.2306718136,17.9031414948404
-75.5292053222656,93.5024559497833,37378.9959392926,18.0631414949894
-75.5370407104492,93.5111122131348,37421.5603362616,18.2231414951384
-75.5448837280273,93.5197670459747,37463.9292882908,18.3831414952874
-75.5527191162109,93.5284202098846,37506.1036935066,18.5431414954364
-75.560546875,93.5370719432831,37548.0816727373,18.7031414955854
-75.5683746337891,93.5457220077515,37589.8620661028,18.8631414957345
-75.5762023925781,93.5543706417084,37631.4445156227,19.0231414958835
-75.5840225219727,93.5630178451538,37672.8276919333,19.1831414960325
-75.5918426513672,93.571662902832,37714.0068326583,19.3431414961815
-75.5996627807617,93.5803060531616,37754.9747895114,19.5031414963305
-75.6074829101563,93.5889465808868,37795.7294218261,19.6631414964795
-75.6153030395508,93.5975844860077,37836.2763696997,19.8231414966285
-75.6231231689453,93.6062202453613,37876.6214210805,19.9831414967775
-75.6309432983398,93.6148536205292,37916.7687658868,20.1431414969265
-75.6387634277344,93.6234850883484,37956.7191459591,20.3031414970756
-75.6465759277344,93.6321144104004,37996.4720817445,20.4631414972246
-75.6543884277344,93.6407413482666,38036.0277856784,20.6231414973736
-75.6622009277344,93.649365901947,38075.3857652646,20.7831414975226
-75.6700134277344,93.6579883098602,38114.5444830563,20.9431414976716
-75.6778259277344,93.6666080951691,38153.5033180452,21.1031414978206
-75.6856384277344,93.6752254962921,38192.2621795984,21.2631414979696
-75.6934509277344,93.6838405132294,38230.8207046218,21.4231414981186
-75.7012634277344,93.6924531459808,38269.1782465812,21.5831414982677
-75.7090759277344,93.7010631561279,38307.3341656378,21.7431414984167
-75.7168807983398,93.7096707820892,38345.2878635296,21.9031414985657
-75.7246932983398,93.7182757854462,38383.0387213147,22.0631414987147
-75.7325057983398,93.7268786430359,38420.5860756818,22.2231414988637
-75.7403106689453,93.7354791164398,38457.9292460377,22.3831414990127
-75.7481231689453,93.7440774440765,38495.0675553415,22.5431414991617
-75.7559280395508,93.7526733875275,38532.0003394709,22.7031414993107
-75.7637405395508,93.7612669467926,38568.7269450778,22.8631414994597
-75.7715454101563,93.7698588371277,38605.2445812937,23.0231414996088
-75.7793579101563,93.778448343277,38641.5472282411,23.1831414997578
-75.7871627807617,93.7870357036591,38677.6341157809,23.3431414999068
-75.7949752807617,93.7956209182739,38713.5080312436,23.5031415000558
-75.8027801513672,93.8042044639587,38749.1709202657,23.6631415002048
-75.8105926513672,93.8127858638763,38784.6235875044,23.8231415003538
-75.8183975219727,93.8213655948639,38819.8676014016,23.9831415005028
-75.8262023925781,93.82994389534,38854.9072147839,24.1431415006518
-75.8340072631836,93.8385207653046,38889.7449208541,24.3031415008008
-75.8418121337891,93.8470964431763,38924.3826321383,24.4631415009499
-75.849609375,93.8556709289551,38958.8171328153,24.6231415010989
-75.8574066162109,93.8642439842224,38993.0465156323,24.7831415012479
-75.8652114868164,93.8728156089783,39027.0714317604,24.9431415013969
-75.8730087280273,93.8813855648041,39060.8926344314,25.1031415015459
-75.8807983398438,93.8899540901184,39094.5100555284,25.2631415016949
-75.8885955810547,93.8985211849213,39127.9234724237,25.4231415018439
-75.8963851928711,93.9070868492126,39161.132902996,25.5831415019929
-75.9041748046875,93.9156510829926,39194.1384488764,25.743141502142
-75.9119720458984,93.924213886261,39226.940149643,25.903141502291
-75.9197540283203,93.9327752590179,39259.5380041098,26.06314150244
-75.9275436401367,93.9413352012634,39291.932028868,26.223141502589
-75.9353332519531,93.9498937129974,39324.1223032023,26.383141502738
-75.943115234375,93.9584510326386,39356.1086261852,26.543141502887
-75.9508972167969,93.9670085906982,39387.8971529597,26.703141503036
-75.9586791992188,93.9755651950836,39419.4834947925,26.863141503185
-75.9664611816406,93.9841201305389,39450.8646930954,27.023141503334
-75.9742431640625,93.9926736354828,39482.0420528674,27.1831415034831
-75.9820251464844,94.0012259483337,39513.0156390213,27.3431415036321
-75.9897994995117,94.0097765922546,39543.7852809395,27.5031415037811
-75.9975738525391,94.0183262825012,39574.3510272198,27.6631415039301
-76.0053482055664,94.0268740653992,39604.712913182,27.8231415040791
-76.0131225585938,94.0354208946228,39634.8709495141,27.9831415042281
-76.0208892822266,94.043966293335,39664.825151365,28.1431415043771
-76.0286636352539,94.0525102615356,39694.5754082708,28.3031415045261
-76.0364303588867,94.0610527992249,39724.1215873361,28.4631415046752
-76.0441970825195,94.0695939064026,39753.4636040006,28.6231415048242
-76.0519638061523,94.0781335830688,39782.6014076862,28.7831415049732
-76.0597305297852,94.0866723060608,39811.5349814908,28.9431415051222
-76.0674896240234,94.0952091217041,39840.264361894,29.1031415052712
-76.0752487182617,94.1037449836731,39868.789617408,29.2631415054202
-76.0830078125,94.1122794151306,39897.1108248116,29.4231415055692
-76.0907669067383,94.1208124160767,39925.2280496465,29.5831415057182
-76.0985260009766,94.1293444633484,39953.1413458138,29.7431415058672
-76.1062774658203,94.1378746032715,39980.8507557679,29.9031415060163
-76.1140289306641,94.1464037895203,40008.3563127955,30.0631415061653
-76.1217803955078,94.1549320220947,40035.6574700775,30.2231415063143
-76.1295318603516,94.1634583473206,40062.7541292664,30.3831415064633
-76.1372833251953,94.1719837188721,40089.6463675599,30.5431415066123
-76.1450271606445,94.1805076599121,40116.3342784673,30.7031415067613
-76.1527786254883,94.1890306472778,40142.8179692155,30.8631415069103
-76.1605224609375,94.1975522041321,40169.0974563119,31.0231415070593
-76.1682662963867,94.2060723304749,40195.172678407,31.1831415072083
-76.1760025024414,94.2145915031433,40221.043581125,31.3431415073574
-76.1837463378906,94.2231092453003,40246.7101162187,31.5031415075064
-76.1914825439453,94.2316255569458,40272.1722771489,31.6631415076554
-76.19921875,94.240140914917,40297.4300903264,31.8231415078044
-76.2069549560547,94.2486553192139,40322.483577651,31.9831415079534
-76.2146911621094,94.2571678161621,40347.3327682859,32.1431415081024
-76.2224273681641,94.2656798362732,40371.9776879546,32.3031415082514
-76.2301559448242,94.2741899490356,40396.4183665324,32.4631415084004
-76.2378845214844,94.2826995849609,40420.6548307177,32.6231415085495
-76.2456207275391,94.2912077903748,40444.6871126291,32.7831415086985
-76.2533416748047,94.2997145652771,40468.5152430355,32.9431415088475
-76.2610702514648,94.3082203865051,40492.1392516011,33.1031415089965
-76.268798828125,94.3167247772217,40515.55916895,33.2631415091455
-76.2765197753906,94.3252282142639,40538.7750277603,33.4231415092945
-76.2842483520508,94.3337306976318,40561.7868620935,33.5831415094435
-76.2919692993164,94.3422322273254,40584.594704759,33.7431415095925
