phi,thetha,r,t
-74.6310522544429,92.5073844465575,631193.644206069,0.1
-74.6344373684897,92.5130470848061,631235.996742564,0.2
-74.6378220585877,92.5187089559965,631278.26900265,0.3
-74.6412063257436,92.5243700617046,631320.460984649,0.4
-74.6445901709629,92.5300304035051,631362.572698782,0.5
-74.6479735952507,92.5356899829716,631404.604155247,0.6
-74.6513565996116,92.5413488016767,631446.555364221,0.7
-74.6547391850492,92.5470068611919,631488.426335861,0.8
-74.6581213525667,92.5526641630875,631530.217080302,0.9
-74.6615031031664,92.558320708933,631571.927607657,1
-74.6648844378501,92.5639765002964,631613.557928019,1.1
-74.668265357619,92.5696315387452,631655.10805146,1.2
-74.6716458634736,92.5752858258453,631696.577988028,1.3
-74.6750259564136,92.5809393631618,631737.967747754,1.4
-74.6784056374382,92.5865921522588,631779.277340645,1.5
-74.6817849075459,92.5922441946992,631820.506776687,1.6
-74.6851637677346,92.5978954920449,631861.656065846,1.7
-74.6885422190015,92.6035460458567,631902.725218066,1.8
-74.6919202623432,92.6091958576945,631943.714243269,1.9
-74.6952978987556,92.614844929117,631984.62315136,2
-74.698675129234,92.6204932616819,632025.451952217,2.1
-74.702051954773,92.6261408569459,632066.200655701,2.2
-74.7054283763668,92.6317877164645,632106.86927165,2.3
-74.7088043950086,92.6374338417924,632147.457809884,2.4
-74.7121800116912,92.6430792344832,632187.966280197,2.5
-74.7155552274067,92.6487238960893,632228.394692366,2.6
-74.7189300431466,92.6543678281623,632268.743056146,2.7
-74.7223044599018,92.6600110322526,632309.011381269,2.8
-74.7256784786624,92.6656535099097,632349.19967745,2.9
-74.7290521004182,92.671295262682,632389.307954378,3
-74.732425326158,92.6769362921168,632429.336221726,3.1
-74.7357981568703,92.6825765997607,632469.284489143,3.2
-74.7391705935427,92.6882161871589,632509.152766258,3.3
-74.7425426371624,92.6938550558558,632548.941062678,3.4
-74.7459142887159,92.6994932073949,632588.649387991,3.5
-74.749285549189,92.7051306433184,632628.277751763,3.6
-74.7526564195671,92.7107673651676,632667.826163539,3.7
-74.7560269008349,92.716403374483,632707.294632844,3.8
-74.7593969939762,92.7220386728038,632746.68316918,3.9
-74.7627666999747,92.7276732616685,632785.991782031,4
-74.7661360198131,92.7333071426143,632825.220480859,4.1
-74.7695049544737,92.7389403171777,632864.369275104,4.2
-74.7728735049381,92.744572786894,632903.438174187,4.3
-74.7762416721874,92.7502045532976,632942.427187507,4.4
-74.7796094572018,92.7558356179219,632981.336324443,4.5
-74.7829768609614,92.7614659822993,633020.165594353,4.6
-74.7863438844452,92.7670956479613,633058.915006573,4.7
-74.789710528632,92.7727246164384,633097.584570421,4.8
-74.7930767944998,92.77835288926,633136.174295192,4.9
-74.796442683026,92.7839804679546,633174.68419016,5
-74.7998081951875,92.7896073540499,633213.114264581,5.1
-74.8031733319605,92.7952335490723,633251.464527687,5.2
-74.8065380943208,92.8008590545476,633289.734988692,5.3
-74.8099024832435,92.8064838720004,633327.925656787,5.4
-74.813266499703,92.8121080029543,633366.036541145,5.5
-74.8166301446733,92.8177314489321,633404.067650916,5.6
-74.8199934191277,92.8233542114557,633442.018995231,5.7
-74.823356324039,92.8289762920458,633479.890583198,5.8
-74.8267188603795,92.8345976922223,633517.682423908,5.9
-74.8300810291206,92.8402184135042,633555.394526429,5.99999999999999
-74.8334428312336,92.8458384574095,633593.026899808,6.09999999999999
-74.8368042676887,92.8514578254552,633630.579553073,6.19999999999999
-74.8401653394561,92.8570765191574,633668.052495231,6.29999999999999
-74.8435260475049,92.8626945400313,633705.445735268,6.39999999999999
-74.846886392804,92.8683118895911,633742.75928215,6.49999999999999
-74.8502463763215,92.8739285693501,633779.993144821,6.59999999999999
-74.8546104358687,92.8806671942127,633817.147332207,6.69999999999999
-74.8569652618819,92.8851599255146,633854.221853212,6.79999999999999
-74.8603241658583,92.8907746049419,633891.216716719,6.89999999999999
-74.8636827119204,92.8963886206123,633928.131931592,6.99999999999999
-74.8670409010335,92.9020019740347,633964.967506673,7.09999999999999
-74.8703987341624,92.9076146667166,634001.723450785,7.19999999999999
-74.8737562122715,92.913226700165,634038.399772729,7.29999999999999
-74.8771133363245,92.9188380758857,634074.996481288,7.39999999999999
-74.8804701072845,92.9244487953838,634111.513585222,7.49999999999999
-74.8838265261142,92.9300588601634,634147.951093271,7.59999999999999
-74.8871825937756,92.9356682717277,634184.309014157,7.69999999999999
-74.8905383112304,92.941277031579,634220.587356579,7.79999999999999
-74.8938936794395,92.9468851412186,634256.786129216,7.89999999999999
-74.8972486993633,92.9524926021471,634292.905340729,7.99999999999999
-74.9006033719617,92.958099415864,634328.944999754,8.09999999999999
-74.9039576981941,92.9637055838681,634364.905114912,8.19999999999999
-74.9073116790194,92.9693111076571,634400.7856948,8.29999999999999
-74.9106653153958,92.974915988728,634436.586747996,8.39999999999999
-74.914018608281,92.9805202285768,634472.308283058,8.49999999999999
-74.9173715586324,92.9861238286986,634507.950308523,8.59999999999999
-74.9207241674065,92.9917267905877,634543.512832908,8.69999999999999
-74.9240764355595,92.9973291157375,634578.995864709,8.79999999999998
